Time	CO2       value	CO2        Gas_consumption	CO2        Temperature	Ar        value	Ar         Gas_consumption	Ar         Temperature
00:05:49	6.327812499999999	0.5041848958333335	24.661863327026367	1.9671875	0.15302951388888886	25.319740295410156
00:06:00	6.327812499999999	0.6448029513888891	24.66255760192871	1.9671875	0.1967447916666667	25.344865798950195
00:06:10	6.327812499999999	0.8029982638888892	24.67672348022461	1.9671875	0.24592447916666677	25.36544418334961
00:06:21	6.327812499999999	0.9611935763888892	24.691335678100586	1.9671875	0.29510416666666683	25.381919860839844
00:06:32	6.327812499999999	1.1018116319444442	24.698827743530273	1.9671875	0.3388194444444447	25.364126205444336
00:06:42	6.327812499999999	1.2600069444444433	24.731130599975586	1.9671875	0.38799913194444474	25.41892433166504
00:06:53	6.327812499999999	1.4182022569444424	24.73405647277832	1.9671875	0.4317144097222226	25.433809280395508
Time	CO2       value	CO2        Gas_consumption	CO2        Temperature	Ar        value	Ar         Gas_consumption	Ar         Temperature
00:14:20	3.2449726104736327	0.12260952712761031	25.319129943847656	0.0	0.0	26.259105682373047
00:14:31	0.0	0.12260952712761031	25.320148468017578	0.0	0.0	26.265493392944336
00:14:41	0.0	0.12260952712761031	25.324142456054688	0.0	0.0	26.289152145385742
00:14:52	0.0	0.12260952712761031	25.361059188842773	0.0	0.0	26.304113388061523
