Time	value_on_device_(l/h)_CO2       	value_in_program_(l/h)_CO2       	Gas_consumption_(l/h)_CO2       	Temperature_(C)_CO2       	value_on_device_(l/h)_Ar        	value_in_program_(l/h)_Ar        	Gas_consumption_(l/h)_Ar        	Temperature_(C)_Ar        _C
15:48:16	0.0	0.0	0.0	25.001	0.0	0.0	0.0	26.247
15:49:58	0.0	0.0	0.0	24.996	0.0	0.0	0.0	26.268
15:50:13	0.0	0.0	0.0	24.99	0.0	0.0	0.0	26.259
15:51:07	0.0	0.0	0.0	25.01	0.0	0.0	0.0	26.26
15:52:27	0.0	0.0	0.0	25.011	0.0	0.0	0.0	26.263
15:55:54	0.0	0.0	0.0	25.006	0.0	0.0	0.0	26.285
15:56:33	0.0	0.0	0.0	25.006	0.0	0.0	0.0	26.299
15:56:49	0.0	0.0	0.0	25.01	0.0	0.0	0.0	26.284
15:57:05	0.0	0.0	0.0	24.985	0.0	0.0	0.0	26.28
15:57:20	0.0	0.0	0.0	25.019	0.0	0.0	0.0	26.283
15:57:36	0.0	0.0	0.0	24.986	0.0	0.0	0.0	26.293
15:57:51	0.0	0.0	0.0	24.997	0.0	0.0	0.0	26.296
15:58:07	0.0	0.0	0.0	25.008	0.0	0.0	0.0	26.301
15:58:26	0.0	0.0	0.0	25.031	0.0	0.0	0.0	26.285
15:58:42	0.0	0.0	0.0	25.017	0.0	0.0	0.0	26.302
15:58:57	0.0	0.0	0.0	25.007	0.0	0.0	0.0	26.301
15:59:13	0.0	0.0	0.0	25.008	0.0	0.0	0.0	26.305
15:59:29	0.0	1.5	0.0	25.0	0.0	16.846	0.0	26.308
15:59:45	0.0	0.6	0.0	24.998	0.0	9.4	0.0	26.298
16:01:11	0.0	0.0	0.0	25.022	0.0	0.0	0.0	26.331
16:29:41	0.0	2.391	0.0	25.151	0.0	37.434	0.0	26.611
16:30:21	0.0	0.0	0.0	25.153	0.0	61.666	0.0	26.622
Time	value_on_device_(l/h)_CO2       	value_in_program_(l/h)_CO2       	Gas_consumption_(l/h)_CO2       	Temperature_(C)_CO2       	value_on_device_(l/h)_Ar        	value_in_program_(l/h)_Ar        	Gas_consumption_(l/h)_Ar        	Temperature_(C)_Ar        _C
