Time	value_on_device_(l/h)_CO2       	value_in_program_(l/h)_CO2       	Gas_consumption_(l)_CO2       	Temperature_(C)_CO2       	value_on_device_(l/h)_Ar        	value_in_program_(l/h)_Ar        	Gas_consumption_(l)_Ar        	Temperature_(C)_Ar        
00:00:13	0.0	9.091	0.0	34.472	0.0	8.15	0.052	35.846
00:00:29	0.0	9.091	0.0	34.471	0.0	8.15	0.052	35.867
00:00:45	0.0	9.091	0.0	34.451	0.0	8.15	0.052	35.862
00:01:02	0.0	9.091	0.0	34.494	0.0	8.15	0.052	35.871
00:01:18	0.0	9.091	0.0	34.493	0.0	8.15	0.052	35.889
00:01:34	0.0	9.091	0.0	34.487	0.0	8.15	0.052	35.881
00:01:50	0.0	9.091	0.0	34.524	0.0	8.15	0.052	35.892
00:02:07	0.0	9.091	0.0	34.502	0.0	8.15	0.052	35.915
00:02:23	0.0	9.091	0.0	34.541	0.0	8.15	0.052	35.909
00:02:38	0.0	9.091	0.0	34.527	0.0	8.15	0.052	35.925
00:02:54	0.0	9.091	0.0	34.524	0.0	8.15	0.052	35.922
00:03:10	0.0	9.091	0.0	34.518	0.0	8.15	0.052	35.925
00:03:26	0.0	9.091	0.0	34.555	0.0	8.15	0.052	35.927
00:03:42	0.0	9.091	0.0	34.566	0.0	8.15	0.052	35.928
00:03:58	0.0	9.091	0.0	34.562	0.0	8.15	0.052	35.946
00:04:14	0.0	9.091	0.0	34.564	0.0	8.15	0.052	35.94
00:04:30	0.0	9.091	0.0	34.581	0.0	8.15	0.052	35.952
00:04:46	0.0	9.091	0.0	34.582	0.0	8.15	0.052	35.953
00:05:02	0.0	9.091	0.0	34.599	0.0	8.15	0.052	35.946
00:05:17	0.0	9.091	0.0	34.62	0.0	8.15	0.052	35.977
00:05:33	0.0	9.091	0.0	34.613	0.0	8.15	0.052	35.982
00:05:49	0.0	9.091	0.0	34.627	0.0	8.15	0.052	35.975
00:06:05	0.0	9.091	0.0	34.632	0.0	8.15	0.052	35.968
00:06:21	0.0	9.091	0.0	34.642	0.0	8.15	0.052	35.982
00:06:37	0.0	9.091	0.0	34.657	0.0	8.15	0.052	35.983
00:06:53	0.0	9.091	0.0	34.658	0.0	8.15	0.052	35.987
00:07:08	0.0	9.091	0.0	34.647	0.0	8.15	0.052	36.003
00:07:25	0.0	9.091	0.0	34.66	0.0	8.15	0.052	36.009
00:07:40	0.0	9.091	0.0	34.677	0.0	8.15	0.052	35.982
00:07:56	0.0	9.091	0.0	34.684	0.0	8.15	0.052	35.984
00:08:12	0.0	9.091	0.0	34.683	0.0	8.15	0.052	35.97
00:08:28	0.0	9.091	0.0	34.68	0.0	8.15	0.052	35.991
