Time	value_on_device_(l/h)_CO2       	value_in_program_(l/h)_CO2       	Gas_consumption_(l)_CO2       	Temperature_(C)_CO2       	value_on_device_(l/h)_Ar        	value_in_program_(l/h)_Ar        	Gas_consumption_(l)_Ar        	Temperature_(C)_Ar        
00:00:10	0.0	4.075	0.0	34.776	0.0	2.822	0.052	35.794
00:00:26	0.0	4.075	0.0	34.766	0.0	2.822	0.052	35.775
00:00:42	0.0	4.075	0.0	34.793	0.0	2.822	0.052	35.76
00:00:57	0.0	4.075	0.0	34.748	0.0	2.822	0.052	35.775
00:01:13	0.0	4.075	0.0	34.786	0.0	2.822	0.052	35.779
00:01:29	0.0	4.075	0.0	34.785	0.0	2.822	0.052	35.758
00:01:45	0.0	4.075	0.0	34.753	0.0	2.822	0.052	35.762
00:02:01	0.0	4.075	0.0	34.771	0.0	2.822	0.052	35.753
00:02:17	0.0	4.075	0.0	34.768	0.0	2.822	0.052	35.756
00:02:32	0.0	4.075	0.0	34.761	0.0	2.822	0.052	35.785
00:02:48	0.0	4.075	0.0	34.77	0.0	2.822	0.052	35.765
00:03:03	0.0	4.075	0.0	34.772	0.0	2.822	0.052	35.766
00:03:19	0.0	4.075	0.0	34.773	0.0	2.822	0.052	35.752
00:03:35	0.0	4.075	0.0	34.783	0.0	2.822	0.052	35.764
00:03:51	0.0	4.075	0.0	34.758	0.0	2.822	0.052	35.75
00:04:06	0.0	4.075	0.0	34.791	0.0	2.822	0.052	35.754
00:04:22	0.0	4.075	0.0	34.753	0.0	2.822	0.052	35.75
00:04:38	0.0	4.075	0.0	34.772	0.0	2.822	0.052	35.763
00:04:54	0.0	4.075	0.0	34.755	0.0	2.822	0.052	35.755
00:05:09	0.0	4.075	0.0	34.757	0.0	2.822	0.052	35.749
00:05:25	0.0	4.075	0.0	34.763	0.0	2.822	0.052	35.759
00:05:41	0.0	4.075	0.0	34.772	0.0	2.822	0.052	35.764
00:05:57	0.0	4.075	0.0	34.752	0.0	2.822	0.052	35.78
00:06:12	0.0	4.075	0.0	34.779	0.0	2.822	0.052	35.752
00:06:28	0.0	4.075	0.0	34.746	0.0	2.822	0.052	35.771
00:06:44	0.0	4.075	0.0	34.741	0.0	2.822	0.052	35.756
00:07:00	0.0	4.075	0.0	34.79	0.0	2.822	0.052	35.776
00:07:16	0.0	4.075	0.0	34.763	0.0	2.822	0.052	35.755
00:07:31	0.0	4.075	0.0	34.776	0.0	2.822	0.052	35.759
00:07:47	0.0	4.075	0.0	34.777	0.0	2.822	0.052	35.75
00:08:03	0.0	4.075	0.0	34.777	0.0	2.822	0.052	35.784
00:08:19	0.0	4.075	0.0	34.761	0.0	2.822	0.052	35.775
00:08:35	0.0	4.075	0.0	34.754	0.0	2.822	0.052	35.774
00:08:51	0.0	4.075	0.0	34.779	0.0	2.822	0.052	35.765
00:09:07	0.0	4.075	0.0	34.805	0.0	2.822	0.052	35.773
00:09:22	0.0	4.075	0.0	34.771	0.0	2.822	0.052	35.755
00:09:38	0.0	4.075	0.0	34.764	0.0	2.822	0.052	35.776
00:09:53	0.0	4.075	0.0	34.765	0.0	2.822	0.052	35.752
00:10:09	0.0	4.075	0.0	34.795	0.0	2.822	0.052	35.78
00:10:24	0.0	4.075	0.0	34.759	0.0	2.822	0.052	35.766
00:10:40	0.0	4.075	0.0	34.767	0.0	2.822	0.052	35.773
00:10:56	0.0	4.075	0.0	34.781	0.0	2.822	0.052	35.777
00:11:12	0.0	4.075	0.0	34.777	0.0	2.822	0.052	35.781
00:11:27	0.0	4.075	0.0	34.802	0.0	2.822	0.052	35.79
00:11:43	0.0	4.075	0.0	34.79	0.0	2.822	0.052	35.754
00:11:59	0.0	4.075	0.0	34.769	0.0	2.822	0.052	35.78
00:12:14	0.0	4.075	0.0	34.783	0.0	2.822	0.052	35.778
00:12:30	0.0	4.075	0.0	34.788	0.0	2.822	0.052	35.789
00:12:46	0.0	4.075	0.0	34.813	0.0	2.822	0.052	35.77
